,make, model, price, year, km_used, fuel_type, mileage, transmission, color, fuel_economy, no_of_owners, registered_at, condition, overall_condition, engine_condition, suspension_condition, brakes_condition, electrical_condition, ac_condition, exterior_condition, interior_condition, tyre_condition
2840,2014 Hyundai Elite i20,Asta 1.4 (O) CRDi,₹ 6.06 Lakh,May-14,"74,190 km",Diesel,22.5 kmpl,Manual,Silver,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2841,2015 Hyundai Elite i20,Asta 1.2,₹ 5.72 Lakh,May-15,"56,403 km",Petrol,18.6 kmpl,Manual,White,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2842,2018 Maruti Suzuki Wagon R,VXI,₹ 4.43 Lakh,May-18,"70,206 km",Petrol,20.5 kmpl,Manual,Maroon,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2843,2017 Hyundai Grand i10,Sportz (O) U2 1.2 CRDi [2017-2018],₹ 5.15 Lakh,May-17,"55,085 km",Diesel,24.95 kmpl,Manual,Blue,Not Available,First,Registered at,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2844,2017 Maruti Suzuki Omni,E 8 STR BS-IV,₹ 2.79 Lakh,May-17,"25,695 km",Petrol,16.8 kmpl,Manual,Silver,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2845,2017 Honda City,V Diesel,₹ 7.53 Lakh,May-17,"81,041 km",Diesel,25.6 kmpl,Manual,White,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2846,2018 Hyundai Elite i20,Era 1.2,₹ 5.08 Lakh,May-18,"26,226 km",Petrol,19.8 kmpl,Manual,Black,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2847,2020 Mahindra XUV500,W11 (O) AT,₹ 18.99 Lakh,May-20,"13,584 km",Diesel,15.1 kmpl,Automatic,Red,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2848,2016 Toyota Fortuner,3.0 4x2 MT,₹ 20.76 Lakh,May-16,"47,024 km",Diesel,11.9 kmpl,Manual,Silver,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2849,2018 Hyundai Grand i10,Sports Edition 1.2L Kappa VTVT,₹ 5.46 Lakh,May-18,"50,423 km",Petrol,18.9 kmpl,Manual,White,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2850,2017 Maruti Suzuki Swift DZire,VXI,₹ 6.1 Lakh,May-17,"14,308 km",Petrol,20.85 kmpl,Manual,Silver,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2851,2015 Maruti Suzuki Alto,VXi [2014-2019],₹ 3.05 Lakh,May-15,"60,251 km",Petrol,24.07 kmpl,Manual,Purple,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2852,2019 Maruti Suzuki Eeco,5 STR WITH A/C+HTR [2019-2020],₹ 4.46 Lakh,May-19,"15,615 km",Petrol,16.2 kmpl,Manual,Grey,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2853,2016 Hyundai Elite i20,Asta 1.2 (O) [2016],₹ 6.55 Lakh,Apr-16,"29,210 km",Petrol,18.6 kmpl,Manual,Red,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2854,2017 Maruti Suzuki Eeco,5 STR WITH A/C+HTR [2019-2020],₹ 4.16 Lakh,Apr-17,"68,085 km",Petrol,16.2 kmpl,Manual,Blue,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2855,2019 Maruti Suzuki Eeco,5 STR WITH A/C+HTR [2019-2020],₹ 4.63 Lakh,May-19,"22,764 km",Petrol,16.2 kmpl,Manual,Grey,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2856,2020 Maruti Suzuki Eeco,5 STR WITH A/C+HTR [2019-2020],₹ 4.7 Lakh,May-20,"26,252 km",Petrol,16.2 kmpl,Manual,Grey,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2857,2016 Hyundai Grand i10,Magna 1.2 Kappa VTVT [2017-2020],₹ 4.42 Lakh,May-16,"16,077 km",Petrol,19.77 kmpl,Manual,Orange,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2858,2018 Hyundai Eon,Era +,₹ 3.61 Lakh,May-18,"35,055 km",Petrol,21.1 kmpl,Manual,Red,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2859,2017 Maruti Suzuki Swift,VXi,₹ 5.57 Lakh,May-17,"46,913 km",Petrol,20.4 kmpl,Manual,Silver,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2860,2019 Hyundai Elite i20,Asta 1.4 CRDI (O) [2016-2017],₹ 7.41 Lakh,May-19,"46,928 km",Diesel,22.54 kmpl,Manual,White,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2861,2017 Maruti Suzuki Alto,VXi [2014-2019],₹ 3.03 Lakh,May-17,"36,539 km",Petrol,24.07 kmpl,Manual,Silver,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2862,2018 Maruti Suzuki Baleno,Delta 1.2,₹ 6.64 Lakh,May-18,"29,098 km",Petrol,21.4 kmpl,Manual,Black,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2863,2013 Maruti Suzuki Swift DZire,VXI,₹ 4.05 Lakh,May-13,"1,54,104 km",Petrol,19.1 kmpl,Manual,Silver,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2864,2013 Maruti Suzuki Wagon R,VXI+,₹ 3.16 Lakh,May-13,"52,468 km",Petrol,20.5 kmpl,Manual,Silver,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2865,2017 Hyundai Grand i10,Asta 1.2 Kappa VTVT,₹ 5.57 Lakh,May-17,"36,396 km",Petrol,19.77 kmpl,Manual,Silver,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2866,2017 Maruti Suzuki Ertiga,ZXI+,₹ 8.25 Lakh,May-17,"47,428 km",Petrol,17.5 kmpl,Manual,Black,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2867,2019 Maruti Suzuki Ertiga,ZXi Plus,₹ 9.81 Lakh,May-19,"41,054 km",Petrol,19.01 kmpl,Manual,Maroon,Not Available,Second,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2868,2021 Maruti Suzuki Eeco,7 STR [2019-2020],₹ 5.28 Lakh,May-21,"11,184 km",Petrol,16.2 kmpl,Manual,Silver,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2869,2019 Renault Triber,RXZ [2019-2020],₹ 7.28 Lakh,Jun-19,"9,223 km",Petrol,20 kmpl,Manual,White,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2870,2016 Hyundai Eon,Era +,₹ 3.04 Lakh,Jun-16,"42,041 km",Petrol,21.1 kmpl,Manual,Silver,Not Available,First,Registered at,"""This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty*
Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month.""",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2871,2018 Volvo XC40,D4 R-Design,₹ 36 Lakh,Jun-18,"62,000 km",Diesel,4WD / AWD ,Automatic,Blue,Not Available,First,Registered at,"Good Condition, Non Accidental, Single Owner, Alloy Wheels, Rear view Camera, Roadside Assistance Available, Service History Available & Test Drive Available",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2872,2014 Mercedes-Benz S-Class,S 350 CDI,₹ 45 Lakh,Jun-14,"80,000 km",Diesel,"Automatic - 7 Gears, Paddle Shift ",Automatic,White,Not Available,First,Registered at,"Very Good Condition, Non Accidental, Single Owner, Alloy Wheels, Rear view Camera, Roadside Assistance Available, Service History Available, Test Drive Available, VIP Number & Warranty Available",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2873,2016 Mercedes-Benz GLE,350 d,₹ 38 Lakh,Jun-16,"1,19,000 km",Diesel,"Automatic - 9 Gears, Paddle Shift, Sport Mode ",Automatic,White,Not Available,Second,Registered at,Immaculate Condition,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2874,2014 Ford Fiesta/Classic,1.4 TDCi CLXi,₹ 3.75 Lakh,Jun-14,"83,000 km",Diesel,19.05 kmpl,Manual,Grey,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels & Test Drive Available",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2875,2018 Mahindra XUV500,W7 [2018-2020],₹ 13 Lakh,Jun-18,"47,000 km",Diesel,15.1 kmpl,Manual,Maroon,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Rear view Camera, Roadside Assistance Available, Finance Available, Service History Available & Test Drive Available",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2876,2016 Ford Aspire,Titanium1.5 TDCi,₹ 5.5 Lakh,Jun-16,"68,000 km",Diesel,25.83 kmpl,Manual,Maroon,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Certified Car, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available, Service History Available & Test Drive Available",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
2877,2018 Ford Ecosport,Titanium 1.5L TDCi [2019-2020],₹ 8.5 Lakh,Jun-18,"49,000 km",Diesel,23 kmpl,Manual,Blue,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available, Service History Available & Test Drive Available",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
